Filename,Instance,Assignments,Total_Profit
gap7.txt,1,"[6, 1, 4, 6, 4, 4, 3, 2, 5, 4, 2, 5, 0, 5, 4, 1, 2, 1, 3, 7, 7, 6, 1, 7, 2, 3, 0, 1, 2, 5, 0, 5, 6, 7, 3, 1, 5, 2, 7, 0]",942
gap7.txt,2,"[4, 4, 1, 7, 2, 7, 0, 0, 7, 1, 0, 5, 6, 1, 1, 7, 6, 4, 7, 0, 5, 6, 3, 1, 7, 3, 2, 6, 4, 5, 4, 2, 2, 5, 6, 5, 0, 3, 7, 3]",949
gap7.txt,3,"[0, 4, 1, 2, 3, 3, 4, 4, 5, 6, 7, 3, 2, 0, 3, 4, 1, 7, 0, 6, 5, 0, 2, 7, 0, 6, 2, 0, 1, 4, 5, 6, 6, 1, 7, 2, 5, 6, 3, 2]",968
gap7.txt,4,"[7, 1, 4, 3, 4, 2, 0, 7, 4, 7, 5, 3, 6, 2, 3, 5, 6, 1, 0, 1, 5, 4, 6, 2, 2, 5, 1, 0, 2, 6, 5, 3, 7, 0, 1, 3, 1, 7, 2, 2]",945
gap7.txt,5,"[2, 7, 0, 0, 7, 5, 1, 7, 6, 1, 4, 4, 3, 3, 7, 4, 7, 4, 5, 1, 5, 3, 6, 7, 2, 2, 0, 2, 1, 5, 3, 0, 4, 6, 1, 3, 4, 0, 6, 0]",951
gap8.txt,1,"[0, 0, 7, 3, 5, 5, 2, 5, 3, 6, 1, 7, 1, 6, 0, 5, 3, 2, 3, 5, 4, 1, 7, 1, 0, 4, 6, 7, 6, 4, 2, 1, 3, 6, 1, 5, 7, 5, 4, 4, 2, 0, 7, 0, 2, 2, 4, 2]",1133
gap8.txt,2,"[5, 5, 3, 4, 2, 6, 0, 3, 2, 7, 1, 0, 0, 3, 4, 1, 7, 1, 5, 2, 5, 0, 2, 3, 7, 1, 3, 2, 7, 5, 5, 0, 6, 3, 4, 4, 6, 1, 3, 3, 7, 6, 6, 4, 5, 7, 2, 4]",1134
gap8.txt,3,"[0, 4, 1, 2, 7, 6, 6, 0, 2, 3, 5, 0, 2, 0, 5, 6, 7, 4, 1, 6, 1, 7, 3, 5, 7, 2, 0, 2, 7, 4, 6, 1, 3, 3, 0, 2, 3, 5, 4, 4, 4, 5, 5, 6, 3, 6, 4, 4]",1141
gap8.txt,4,"[4, 5, 6, 3, 0, 3, 0, 3, 7, 7, 4, 5, 1, 2, 2, 6, 6, 4, 0, 4, 6, 5, 6, 1, 6, 4, 7, 4, 4, 1, 0, 6, 3, 7, 2, 7, 1, 6, 0, 3, 1, 0, 7, 2, 5, 1, 3, 2]",1117
gap8.txt,5,"[4, 4, 3, 1, 7, 7, 3, 5, 6, 1, 4, 3, 7, 0, 6, 6, 2, 5, 3, 1, 3, 2, 0, 5, 7, 4, 1, 5, 1, 2, 2, 6, 7, 0, 5, 1, 5, 6, 3, 4, 0, 1, 6, 7, 4, 0, 2, 0]",1127
